ticker,market_cap,pe,pb,roce_pct,roe_pct,peg,debt_to_equity,opm_pct,insider_holding_pct,pledging_status,market_cap_ok,pe_ok,pb_ok,roce_ok,roe_ok,peg_ok,de_ok,opm_ok,insider_holding_ok,unknown_metric_count,qualified
MDLZ,79637635072,22.725275,2.9822624,7.28,13.34,0.9234,82.643,21.98,0.24,NOT AVAILABLE - manual check only,True,True,False,False,False,True,True,True,False,0,False
MPWR,57476669440,71.27239,14.75457,19.05,21.98,0.8614,0.486,30.99,3.59,NOT AVAILABLE - manual check only,True,False,False,True,True,True,True,True,False,0,False
MNST,87197392896,41.21296,9.311715,28.33,25.7,2.2922,0.992,29.18,28.3,NOT AVAILABLE - manual check only,True,False,False,True,True,False,True,True,False,0,False
MCO,79988834304,29.288523,26.443008,26.55,76.93,1.6131,240.682,49.47,14.38,NOT AVAILABLE - manual check only,True,False,False,True,True,True,False,True,False,0,False
MS,319641649152,16.42615,3.0017257,,17.97,1.7792,517.282,41.57,24.41,NOT AVAILABLE - manual check only,True,True,False,,True,True,False,True,False,1,False
MOS,8071370240,,0.7040652,7.1,-5.07,2.0198,52.249,-0.12,0.34,NOT AVAILABLE - manual check only,True,,True,False,False,False,True,False,False,1,False
MSI,76074188800,36.166798,28.471972,23.83,91.57,2.0248,357.85,27.35,0.4,NOT AVAILABLE - manual check only,True,False,False,True,True,False,False,True,False,0,False
MSCI,39946465280,30.074984,-14.852948,44.0,,1.8379,,56.3,3.6,NOT AVAILABLE - manual check only,True,False,True,True,,True,,True,False,2,False
NDAQ,51040219136,26.62099,4.2806244,10.82,16.52,1.6408,77.687,49.33,11.0,NOT AVAILABLE - manual check only,True,False,False,False,True,True,True,True,False,0,False
NTAP,38678831104,27.77433,25.815418,26.13,114.82,2.1229,169.498,26.67,0.42,NOT AVAILABLE - manual check only,True,False,False,True,True,False,False,True,False,0,False
NFLX,313586286592,23.682388,10.4004965,30.26,49.54,1.4126,55.236,33.38,0.57,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
NEM,131068780544,15.686003,3.7376804,22.51,25.91,,15.807,51.57,0.31,NOT AVAILABLE - manual check only,True,True,False,True,True,,True,True,False,1,False
NWSA,16182918144,29.300972,1.9236407,8.93,7.98,2.711,31.561,12.54,0.03,NOT AVAILABLE - manual check only,True,False,True,False,False,False,True,False,False,0,False
NWS,17893437440,32.39806,2.126968,8.93,7.98,3.0029,31.561,12.54,35.22,NOT AVAILABLE - manual check only,True,False,True,False,False,False,True,False,False,0,False
NEE,169518006272,18.26517,2.967723,4.79,11.68,1.6226,161.676,31.52,0.12,NOT AVAILABLE - manual check only,True,True,False,False,False,True,False,True,False,0,False
NKE,53940015104,17.314287,3.6272945,14.68,22.14,1.3868,74.289,12.69,1.95,NOT AVAILABLE - manual check only,True,True,False,False,True,True,True,False,False,0,False
NI,19618803712,21.76064,2.048778,5.8,8.55,2.092,146.649,17.16,0.35,NOT AVAILABLE - manual check only,True,True,True,False,False,False,False,True,False,0,False
NDSN,17369511936,31.48889,5.311547,13.6,17.76,1.7619,55.619,27.4,5.59,NOT AVAILABLE - manual check only,True,False,False,False,True,True,True,True,False,0,False
NSC,71643332608,27.192669,4.4079766,10.75,16.98,3.7417,105.519,35.3,0.04,NOT AVAILABLE - manual check only,True,False,False,False,True,False,False,True,False,0,False
NTRS,32372172800,15.201031,2.5863128,,17.07,0.9995,,42.5,0.86,NOT AVAILABLE - manual check only,True,True,False,,True,True,,True,False,2,False
NOC,74441023488,16.645489,4.1624303,15.29,26.96,3.5151,95.348,11.6,0.27,NOT AVAILABLE - manual check only,True,True,False,True,True,False,True,False,False,0,False
NCLH,6607713280,8.721212,2.5682669,8.09,36.73,1.2137,621.051,14.04,0.55,NOT AVAILABLE - manual check only,True,False,False,False,True,True,False,False,False,0,False
NRG,22330660864,27.664064,5.313094,8.88,23.77,0.4121,483.357,12.77,4.46,NOT AVAILABLE - manual check only,True,False,False,False,True,True,False,False,False,0,False
NUE,60153819136,21.143541,2.7207801,8.8,14.55,,30.512,15.67,1.18,NOT AVAILABLE - manual check only,True,True,False,False,False,,True,True,False,1,False
NVDA,5296402989056,27.729456,23.129812,81.14,117.21,0.4544,16.971,66.24,4.01,NOT AVAILABLE - manual check only,True,False,False,True,True,True,True,True,False,0,False
NVR,16634669056,16.222012,4.9297214,36.41,31.54,,32.15,13.89,5.55,NOT AVAILABLE - manual check only,True,True,False,True,True,,True,False,False,1,False
NXPI,57480822784,19.449657,5.0445924,13.8,27.92,0.4356,93.325,30.41,0.14,NOT AVAILABLE - manual check only,True,True,False,False,True,True,True,True,False,0,False
ORLY,68672679936,26.949205,-37.745663,44.77,,1.5671,,20.15,0.5,NOT AVAILABLE - manual check only,True,False,True,True,,True,,True,False,2,False
OXY,59268501504,17.489676,1.77149,5.53,10.63,1.1872,34.511,45.44,26.81,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,True,False,0,False
ODFL,36306071552,33.671154,7.9884114,27.31,24.82,2.1239,0.44,28.84,8.24,NOT AVAILABLE - manual check only,True,False,False,True,True,False,True,True,False,0,False
OMC,22401486848,212.43242,2.2318134,2.18,6.05,,107.744,15.38,0.93,NOT AVAILABLE - manual check only,True,False,True,False,False,,False,True,False,1,False
ON,26590464000,44.640526,3.683331,1.8,8.31,0.1492,65.055,19.53,0.33,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
OKE,58766749696,16.100174,2.561904,10.41,16.28,1.7511,143.07,13.25,0.15,NOT AVAILABLE - manual check only,True,True,False,False,True,True,False,False,False,0,False
ORCL,455344390144,23.603447,11.548312,10.98,41.19,0.8019,251.716,35.63,38.58,NOT AVAILABLE - manual check only,True,True,False,False,True,True,False,True,False,0,False
OTIS,26151983104,17.660667,-4.54997,74.04,,2.2506,,15.13,0.14,NOT AVAILABLE - manual check only,True,True,True,True,,False,,True,False,2,False
PCAR,61774192640,24.707369,3.0398633,8.93,12.76,0.8772,72.91,12.02,1.86,NOT AVAILABLE - manual check only,True,True,False,False,False,True,True,False,False,0,False
PKG,20988887040,30.553827,4.474944,11.4,14.89,1.4868,94.474,13.12,1.58,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,False,False,0,False
PLTR,423515029504,150.63249,43.323505,18.3,38.1,1.6781,2.139,47.12,3.48,NOT AVAILABLE - manual check only,True,False,False,True,True,True,True,True,False,0,False
PANW,306799083520,914.7805,11.118488,1.39,1.74,1.9182,9.337,5.4,0.76,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,False,False,0,False
PSKY,11885618176,354.0,1.0114286,-16.24,-0.9,0.8004,126.479,9.35,50.8,NOT AVAILABLE - manual check only,True,False,True,False,False,True,False,False,True,0,False
PH,116630462464,32.489117,7.5745964,20.03,25.08,3.0768,56.66,23.46,0.18,NOT AVAILABLE - manual check only,True,False,False,True,True,False,True,True,False,0,False
PAYX,41475284992,23.826178,11.091966,27.65,44.77,2.0542,123.967,38.32,10.33,NOT AVAILABLE - manual check only,True,True,False,True,True,False,False,True,False,0,False
PYPL,45634277376,10.007562,2.30244,19.96,24.5,0.9304,71.751,16.97,0.71,NOT AVAILABLE - manual check only,True,True,True,True,True,True,True,True,False,0,False
PNR,9004660736,14.360825,2.3724773,13.98,17.13,0.9023,47.067,23.44,0.96,NOT AVAILABLE - manual check only,True,True,True,False,True,True,True,True,False,0,False
PEP,182579560448,17.517694,8.262348,15.23,51.51,1.376,238.949,16.84,0.18,NOT AVAILABLE - manual check only,True,True,False,True,True,True,False,True,False,0,False
PFE,157538975744,36.36842,1.8490767,5.95,5.01,12.5603,74.253,27.88,0.1,NOT AVAILABLE - manual check only,True,False,True,False,False,False,True,True,False,0,False
PCG,29467670528,9.625899,0.91169256,4.35,9.32,0.5576,189.45,24.79,0.2,NOT AVAILABLE - manual check only,True,False,True,False,False,True,False,True,False,0,False
PM,296884666368,26.164833,-34.588703,35.35,,2.3024,,40.0,0.16,NOT AVAILABLE - manual check only,True,False,True,True,,False,,True,False,2,False
PSX,109415522304,15.651255,3.472859,10.78,23.45,1.2635,62.884,8.53,0.21,NOT AVAILABLE - manual check only,True,True,False,False,True,True,True,False,False,0,False
PNW,11585243136,18.347408,1.6467689,4.32,9.37,3.6491,233.288,21.34,0.15,NOT AVAILABLE - manual check only,True,True,True,False,False,False,False,True,False,0,False
PNC,92558917632,12.78292,1.5944169,,12.62,1.6234,,38.69,0.3,NOT AVAILABLE - manual check only,True,True,True,,False,True,,True,False,2,False
PPG,23441534976,15.129125,2.7764614,13.29,19.3,1.5001,86.938,14.02,0.11,NOT AVAILABLE - manual check only,True,True,False,False,True,True,True,False,False,0,False
PPL,25285505024,19.881655,1.680252,5.6,8.63,1.2238,135.434,23.59,0.17,NOT AVAILABLE - manual check only,True,True,True,False,False,True,False,True,False,0,False
PFG,24823291904,16.51567,2.0493512,,12.95,,35.307,12.34,1.12,NOT AVAILABLE - manual check only,True,True,True,,False,,True,False,False,2,False
PG,342970105856,22.28852,6.4300346,24.2,30.29,3.7613,64.49,22.08,0.09,NOT AVAILABLE - manual check only,True,True,False,True,True,False,True,True,False,0,False
PGR,125686120448,10.857931,3.6601627,,34.94,66.5409,24.428,18.21,0.24,NOT AVAILABLE - manual check only,True,True,False,,True,False,True,True,False,1,False
PLD,131407306752,30.106905,2.3503432,4.94,7.75,116.4222,63.823,43.03,0.26,NOT AVAILABLE - manual check only,True,False,True,False,False,False,True,True,False,0,False
PRU,40685850624,10.691751,1.2892611,,12.01,0.6798,163.891,7.52,0.18,NOT AVAILABLE - manual check only,True,True,True,,False,True,False,False,False,1,False
PEG,35370856448,17.656717,2.0398312,6.43,11.83,3.3266,142.409,18.87,0.13,NOT AVAILABLE - manual check only,True,True,True,False,False,False,False,True,False,0,False
PTC,14587582464,13.039767,4.2898626,18.54,35.05,1.2285,46.335,28.23,0.35,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
PSA,56197697536,28.671118,10.912521,10.69,21.93,4.6213,109.632,45.7,9.56,NOT AVAILABLE - manual check only,True,False,False,False,True,False,False,True,False,0,False
PHM,22637398016,12.138917,1.7137994,17.46,14.9,0.9822,19.065,15.69,0.67,NOT AVAILABLE - manual check only,True,True,True,True,False,True,True,True,False,0,False
PWR,92692709376,70.62314,9.613009,10.18,15.34,1.399,67.78,7.22,0.67,NOT AVAILABLE - manual check only,True,False,False,False,True,True,True,False,False,0,False
QCOM,201553707008,21.591534,7.2117558,32.51,33.75,0.8207,55.21,18.53,0.12,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
DGX,27311888384,26.296494,3.6215549,11.44,14.6,1.9155,81.074,15.25,0.43,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
Q,24519899136,41.83214,3.3778405,8.08,6.72,1.2146,59.992,22.32,0.07,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
RL,19845652480,20.988028,7.294148,20.83,37.54,1.816,110.373,18.39,2.54,NOT AVAILABLE - manual check only,True,True,False,True,True,True,False,True,False,0,False
RJF,31503077376,14.278117,2.4776847,,18.42,0.8078,47.594,19.3,10.55,NOT AVAILABLE - manual check only,True,True,True,,True,True,True,True,False,1,False
RDDT,29403959296,35.54186,8.945798,14.89,30.71,0.7855,0.635,28.79,0.65,NOT AVAILABLE - manual check only,True,False,False,False,True,True,True,True,False,0,False
RTX,260845092864,34.014057,3.9297462,9.41,12.27,2.2822,57.02,12.7,0.09,NOT AVAILABLE - manual check only,True,False,False,False,False,False,True,False,False,0,False
O,54237216768,41.839417,1.3713574,3.27,3.23,2.8829,74.722,46.97,0.12,NOT AVAILABLE - manual check only,True,False,True,False,False,False,True,True,False,0,False
REG,13670423552,24.61953,2.008957,5.98,8.19,,71.972,39.64,0.65,NOT AVAILABLE - manual check only,True,True,True,False,False,,True,True,False,1,False
REGN,81277820928,19.526342,2.4973824,14.57,14.04,1.2748,8.535,33.11,2.08,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,True,False,0,False
RF,24262952960,11.577235,1.3900819,,11.87,1.5103,,39.31,0.26,NOT AVAILABLE - manual check only,True,True,True,,False,True,,True,False,2,False
RSG,67039207424,31.009914,5.567904,10.41,18.15,2.8301,118.798,20.43,0.18,NOT AVAILABLE - manual check only,True,False,False,False,True,False,False,True,False,0,False
RMD,32950110208,21.900288,5.0030665,25.21,24.27,1.3249,12.542,30.86,0.5,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
RVTY,16373071872,70.54327,2.264946,3.33,3.21,0.7337,46.225,17.05,0.27,NOT AVAILABLE - manual check only,True,False,True,False,False,True,True,True,False,0,False
HOOD,98728222720,48.588493,10.4134655,22.36,23.62,1.8231,240.279,43.88,0.96,NOT AVAILABLE - manual check only,True,False,False,True,True,True,False,True,False,0,False
ROK,45535506432,38.46623,13.032353,13.8,30.63,1.8293,103.347,20.97,0.17,NOT AVAILABLE - manual check only,True,False,False,False,True,True,False,True,False,0,False
ROL,15877798912,30.0,11.107371,30.98,37.01,2.694,78.015,18.8,38.42,NOT AVAILABLE - manual check only,True,False,False,True,True,False,True,True,False,0,False
ROP,37064093696,15.608497,1.9819869,7.33,13.07,1.4791,60.531,27.73,0.39,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,True,False,0,False
ROST,73308102656,27.714975,10.878922,26.86,42.63,2.4112,70.281,13.58,2.14,NOT AVAILABLE - manual check only,True,False,False,True,True,False,True,False,False,0,False
RCL,66793484288,15.416049,6.525227,18.15,44.67,1.0263,224.816,27.07,6.2,NOT AVAILABLE - manual check only,True,True,False,True,True,True,False,True,False,0,False
SPGI,119131627520,24.59586,3.7818537,12.16,14.26,1.9429,42.98,44.79,0.11,NOT AVAILABLE - manual check only,True,True,False,False,False,True,True,True,False,0,False
CRM,199865548800,22.239012,5.2077975,11.86,19.38,0.8368,110.417,21.38,2.98,NOT AVAILABLE - manual check only,True,True,False,False,True,True,False,True,False,0,False
SNDK,236377391104,21.898941,15.286192,77.34,91.64,,1.277,78.47,0.98,NOT AVAILABLE - manual check only,True,True,False,True,True,,True,True,False,1,False
SBAC,19215740928,19.539373,-4.15036,19.32,,10.4505,,52.16,0.77,NOT AVAILABLE - manual check only,True,True,True,True,,False,,True,False,2,False
SLB,77294182400,25.404879,2.9644809,12.08,12.91,1.3788,47.002,12.71,0.22,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,False,False,0,False
STX,182626140160,57.94589,84.053375,58.06,371.53,0.448,179.88,43.07,0.26,NOT AVAILABLE - manual check only,True,False,False,True,True,True,False,True,False,0,False
SRE,53737529344,23.82029,1.6437316,3.04,6.68,0.6716,84.663,28.33,0.1,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,True,False,0,False
NOW,143158870016,87.08805,11.43813,14.65,14.24,1.0073,67.538,4.06,0.17,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,False,False,0,False
SHW,77910802432,29.63435,20.092657,20.04,65.12,2.0704,389.958,18.12,6.36,NOT AVAILABLE - manual check only,True,False,False,True,True,False,False,True,False,0,False
SPG,77621616640,14.429781,15.055593,17.44,120.51,,503.504,46.02,1.8,NOT AVAILABLE - manual check only,True,True,False,True,True,,False,True,False,1,False
SWKS,13735072768,47.316063,2.3950903,8.4,5.09,12.1181,11.869,8.82,0.4,NOT AVAILABLE - manual check only,True,False,True,False,False,False,True,False,False,0,False
SJM,13219368960,57.8271,2.3809524,2.33,3.93,,120.682,17.9,2.26,NOT AVAILABLE - manual check only,True,False,True,False,False,,False,True,False,1,False
SW,23855302656,48.382977,1.3208643,4.72,2.71,,78.427,5.47,0.52,NOT AVAILABLE - manual check only,True,False,True,False,False,,True,False,False,1,False
SNA,19222833152,18.97957,3.1815145,18.5,17.93,1.9087,21.595,25.4,2.42,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
SOLV,14899682304,10.700488,3.1021407,18.46,33.96,,110.313,9.78,15.34,NOT AVAILABLE - manual check only,True,True,False,True,True,,False,False,False,1,False
SO,99805495296,20.906025,2.52224,5.93,11.48,2.038,182.058,29.61,0.1,NOT AVAILABLE - manual check only,True,True,False,False,False,False,False,True,False,0,False
LUV,19734659072,25.2125,2.7866814,3.73,11.1,0.1854,97.275,3.38,1.02,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,False,False,0,False
SWK,13458603008,21.78973,1.5022335,5.84,6.89,,58.172,8.44,0.32,NOT AVAILABLE - manual check only,True,True,True,False,False,,True,False,False,1,False
SBUX,110203797504,55.878613,-14.357641,13.98,,1.1675,,12.92,0.13,NOT AVAILABLE - manual check only,True,False,True,False,,True,,False,False,2,False
STT,50289651712,16.172262,2.1040595,,12.44,0.6832,,34.31,0.35,NOT AVAILABLE - manual check only,True,True,True,,False,True,,True,False,2,False
STLD,35165548544,22.243881,3.7406046,10.93,17.57,,46.924,11.5,6.57,NOT AVAILABLE - manual check only,True,True,False,False,True,,True,False,False,1,False
STE,20283922432,25.40171,2.8145843,11.55,11.39,1.7506,28.312,19.15,0.31,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
SYK,107450318848,29.029016,4.479357,12.79,16.51,1.3306,64.391,27.02,5.36,NOT AVAILABLE - manual check only,True,False,False,False,True,True,True,True,False,0,False
SMCI,26101325824,12.3773,2.585047,13.1,21.47,,63.951,13.38,12.7,NOT AVAILABLE - manual check only,True,True,False,False,True,,True,False,False,1,False
SYF,24210845696,7.6317954,1.5929185,,20.79,0.9295,,50.22,0.35,NOT AVAILABLE - manual check only,True,False,True,,True,True,,True,False,2,False
SNPS,73046138880,66.75482,2.3444064,4.13,3.66,2.0269,34.804,14.52,2.99,NOT AVAILABLE - manual check only,True,False,True,False,False,False,True,False,False,0,False
SYY,37938647040,21.614754,14.200323,16.74,77.69,1.4785,564.591,4.84,0.17,NOT AVAILABLE - manual check only,True,True,False,True,True,True,False,False,False,0,False
TMUS,178546180096,17.42932,3.179682,9.27,17.99,0.6228,214.035,25.22,55.55,NOT AVAILABLE - manual check only,True,True,False,False,True,True,False,True,True,0,False
TROW,21937401856,10.325301,1.9938347,17.78,19.4,2.4319,3.702,28.69,1.7,NOT AVAILABLE - manual check only,True,True,True,True,True,False,True,True,False,0,False
TTWO,39381819392,,11.122142,-0.54,-9.04,2.9015,81.607,0.51,1.78,NOT AVAILABLE - manual check only,True,,False,False,False,False,True,False,False,1,False
TPR,23137411072,15.961486,33.595833,37.96,197.13,1.6879,571.608,19.82,0.42,NOT AVAILABLE - manual check only,True,True,False,True,True,True,False,True,False,0,False
TRGP,61127852032,27.279427,19.515985,15.41,70.84,,515.794,27.8,1.38,NOT AVAILABLE - manual check only,True,False,False,True,True,,False,True,False,1,False
TGT,72609406976,16.579876,4.0693026,13.62,26.41,1.9252,107.583,6.04,0.27,NOT AVAILABLE - manual check only,True,True,False,False,True,True,False,False,False,0,False
TEL,59901743104,20.235064,4.522272,16.44,23.29,0.8708,43.441,20.77,0.12,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,True,False,0,False
TDY,27889211392,29.109283,2.5557442,8.6,9.15,,18.565,20.2,0.84,NOT AVAILABLE - manual check only,True,False,False,False,False,,True,True,False,1,False
TER,55208611840,48.57359,16.075478,21.51,36.46,0.6243,2.883,33.16,0.2,NOT AVAILABLE - manual check only,True,False,False,True,True,True,True,True,False,0,False
TSLA,1446324338688,342.24298,16.649239,5.29,4.67,4.2807,18.373,1.41,17.82,NOT AVAILABLE - manual check only,True,False,False,False,False,False,True,False,False,0,False
TXN,235745771520,39.290718,13.088274,19.9,35.18,0.9283,78.036,42.58,0.28,NOT AVAILABLE - manual check only,True,False,False,True,True,True,True,True,False,0,False
TPL,23948009472,44.285713,15.391436,39.43,36.57,,1.077,78.18,0.38,NOT AVAILABLE - manual check only,True,False,False,True,True,,True,True,False,1,False
TXT,14069357568,15.237289,1.7272593,9.17,12.13,0.9415,52.285,8.7,0.73,NOT AVAILABLE - manual check only,True,True,True,False,False,True,True,False,False,0,False
TMO,243412041728,35.37453,4.6206646,9.17,13.51,1.9313,80.575,18.75,0.13,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
TJX,139800346624,23.435184,13.442746,32.91,62.17,2.3985,134.419,10.91,0.15,NOT AVAILABLE - manual check only,True,True,False,True,True,False,False,False,False,0,False
TKO,35828756480,66.42106,4.1432295,5.93,7.06,1.6144,59.216,32.39,18.15,NOT AVAILABLE - manual check only,True,False,False,False,False,True,True,True,False,0,False
TTD,6700491776,16.97619,2.6012406,20.41,15.44,1.0407,16.863,14.21,2.7,NOT AVAILABLE - manual check only,True,True,False,True,True,True,True,False,False,0,False
